,brand,name,price
88,Chanel,Chanel 22 Medium Handbag Shiny Calfskin & Gold Black,"7,599,000"
89,Chanel,Chanel Flap Phone Holder with Classic Chain Grained Calfskin & Gold Black,"4,900,000"
90,Chanel,(W) Chanel Ballerina Flat Lambskin & Beige Black,"1,150,000"
91,Chanel,Chanel Gabrielle Small Hobo Bag Aged Calfskin & Gold Black,"7,137,000"
92,Chanel,Chanel Medium Boy Chanel Handbag Grained Calfskin & Ruthenium Black,"7,530,000"
93,Chanel,Chanel Classic Card Holder Grained Calfskin & Gold Black,"715,000"
94,Chanel,Chanel Clutch With Chain Lambskin & Gold Black,"3,500,000"
95,Chanel,Chanel Boy Chanel Flap Card Holder Grained Calfskin & Ruthenium Black,"1,100,000"
96,Chanel,(W) Chanel Slingbacks Goatskin Grosgrain & Beige Black,"1,280,000"
97,Chanel,Chanel Large Classic Pouch Grained Calfskin & Silver Black,"1,949,000"
98,Chanel,Chanel Classic Card Holder Grained Calfskin & Silver Black,"745,000"
99,Chanel,Chanel 22 Small Handbag Shiny Calfskin & Gold White,"7,200,000"
100,Chanel,Chanel Medium Classic Handbag Grained Calfskin & Gold Beige,"13,090,000"
101,Chanel,(W) Chanel Slingbacks Goatskin Grosgrain & Black,"1,300,000"
102,Chanel,(W) Chanel Sandals Knitwear & Black,"2,150,000"
103,Chanel,Chanel Flap Coin Purse With Chain Lambskin & Gold Black,"4,200,000"
104,Chanel,Chanel 2.55 Wallet On Chain Aged Calfskin & Gold Black,"4,280,000"
105,Chanel,Chanel Small Vanity With Chain Lambskin & Gold Black,"4,149,000"
106,Chanel,Chanel 19 Card Holder Lambskin & Gold Black,"880,000"
107,Chanel,Chanel Small Classic Flap Wallet Grained Calfskin & Gold Black,"1,544,000"
108,Chanel,Chanel Glasses Case with Classic Chain Graind Calfskin & Silver Black,"2,450,000"
109,Chanel,Chanel 19 Card Holder Lambskin & Silver Black,"830,000"
110,Chanel,Chanel Wallet On Chain Grained Shiny Calfskin & Gold Black,"5,300,000"
111,Chanel,Chanel Classic Wallet On Chain Grained Calfskin & Gold White,"3,950,000"
112,Chanel,Chanel Clutch with Chain Lambskin & Gold Light Blue,"3,600,000"
113,Chanel,Chanel Classic Card Holder Lambskin & Gold Black,"1,200,000"
114,Chanel,Chanel Mini Flap Bag Lambskin & Gold Black,-
115,Chanel,Chanel Boy Chanel Wallet On Chain Grained Calfskin & Gold Black,-
116,Chanel,Chanel Bleu De Chanel Parfum 50ml (Korean Ver.),-
117,Chanel,Chanel Classic Wallet On Chain Grained Calfskin & Silver Black,"4,189,000"
118,Chanel,Chanel Classic Wallet On Chain Grained Calfskin & Gold Black,"4,090,000"
119,Chanel,Chanel Medium Classic Handbag Grained Calfskin & Silver Black,"11,500,000"
120,Apple,Apple AirPods Pro with Magsafe Charging Case (Korean Ver.),"232,000"
121,Apple,Apple AirPods Max Silver (Korean Ver.),"527,000"
122,Apple,Apple Watch Nike SE 44mm GPS Space Gray Aluminum Case with Nike Sport Band Anthracite Black (Korean Ver.),"375,000"
123,Apple,Apple iPad Air 5th Gen Wifi 64GB Space Grey (Korean Ver.),"703,000"
124,Apple,Apple iPad 9th Gen Wifi 64GB Space Gray (Korean Ver.),"394,000"
125,Apple,Apple AirPods Max Space Gray (Korean Ver.),"535,000"
126,Apple,Apple Watch Series 7 41mm GPS Starlight Aluminum Case with Sport Band Starlight (Korean Ver.),"430,000"
127,Apple,Apple Airpods 3rd Gen (Korean Ver.),"193,000"
128,Apple,Apple iPad Pro 3rd Gen 11-inch Wifi 128GB Space Gray (Korean Ver.),"870,000"
129,Apple,Apple iPad 9th Gen Wifi 64GB Silver (Korean Ver.),"389,000"
130,Apple,Apple iPad Mini 6th Gen Wifi 64GB Space Gray (Korean Ver.),"534,000"
131,Apple,Apple iPad Air 5th Gen Wifi 64GB Pink (Korean Ver.),-
132,Apple,Apple Watch Nike SE 40mm GPS Space Gray Aluminum Case with Nike Sport Band Anthracite Black USB C Type (Korean Ver.),"325,000"
133,Apple,Apple iPhone 13 Pro Max 256GB Sierra Blue (Korean Ver.),"1,473,000"
134,Apple,Apple iPad Air 5th Gen Wifi 64GB Purple (Korean Ver.),"710,000"
135,Apple,Apple Watch Nike Series 7 45mm GPS Midnight Aluminum Case with Nike Sport Band Anthracite Black (Korean Ver.),"508,000"
136,Apple,Apple AirPods 2nd Gen (Korean Ver.),"135,000"
137,Apple,Apple iPad Air 5th Gen Wifi 64GB Blue (Korean Ver.),"684,000"
138,Apple,Apple iPad Mini 6th Gen Wifi 64GB Purple (Korean Ver.),"540,000"
139,Apple,Apple iPad Air 5th Gen Wifi 64GB Starlight (Korean Ver.),"703,000"
140,Apple,Apple Watch Nike SE 40mm GPS Silver Aluminum Case with Nike Sport Band Pure Platinum Black USB C Type (Korean Ver.),"329,000"
141,Apple,Apple Watch Nike Series 7 45mm GPS Starlight Aluminum Case with Nike Sport Band Pure Platinum Black (Korean Ver.),"474,000"
142,Apple,Apple Watch Nike Series 7 41mm GPS Midnight Aluminum Case with Nike Sport Band Anthracite Black (Korean Ver.),"438,000"
143,Apple,Apple iPhone 13 Pro 256GB Sierra Blue (Korean Ver.),"1,299,000"
144,Apple,Apple Apple Pencil 2nd Gen (Korean Ver.),"152,000"
145,Apple,Apple iPad Pro 3rd Gen 11-inch Wifi 128GB Silver (Korean Ver.),"857,000"
146,Apple,Apple 2020 MacBook Air 13 M1 256GB SSD / 8GB RAM Space Gray (Korean Ver.),"980,000"
147,Apple,Apple iPhone 13 Pro 256GB Silver (Korean Ver.),"1,290,000"
148,Apple,Apple Watch Series 7 41mm GPS Midnight Aluminum Case with Sport Band Midnight (Korean Ver.),"409,000"
149,Apple,Apple iPhone 13 Pro 128GB Sierra Blue (Korean Ver.),"1,150,000"
150,Apple,Apple Watch Nike SE 44mm GPS Silver Aluminum Case with Nike Sport Band Pure Platinum Black (Korean Ver.),"383,000"
151,Apple,Apple iPad Pro 5th Gen 12.9-inch Wifi 128GB Space Gray (Korean Ver.),"1,200,000"
152,Apple,Apple iPad Pro 5th Gen 12.9-inch Wifi 128GB Silver (Korean Ver.),"1,220,000"
153,Apple,Apple Watch Nike Series 7 41mm GPS Starlight Aluminum Case with Nike Sport Band Pure Platinum Black (Korean Ver.),"465,000"
154,Apple,Apple Watch SE 44mm GPS Space Gray Aluminum Case with Sport Band Midnight (Korean Ver.),-
155,Apple,Apple Magic Keyboard for iPad Pro 3rd Gen 11-inch and iPad Air 5th Gen White (Korean Ver.),-
156,Apple,Apple iPhone 13 Pro 128GB Alpine Green (Korean Ver.),-
157,Apple,Apple iPhone 13 Pro Max 128GB Gold (Korean Ver.),-
158,Apple,Apple Watch Series 7 45mm GPS Midnight Aluminum Case with Sport Band Midnight (Korean Ver.),-
159,Apple,Apple iPhone 13 128GB Midnight (Korean Ver.),"915,000"
